Altium Designer Pick and Place Locations
D:\PCB_Projects\HK32F030MF4P6_Header_Board\!Released Files\Step 6 - Source Files\V1.0\Project Outputs for HK32F030MF4P6_Header_Board\Pick Place\Pick Place for HK32F030MF4P6_Header_Board.txt

========================================================================================================================
File Design Information:

Date:       28/01/23
Time:       21:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                              Layer       Footprint                         Center-X(mm) Center-Y(mm) Rotation Description                                                                                           
X1         16MHz                                TopLayer    HC-49S_SMD                        36.6000      36.9500      0        "SMT Crystal"                                                                                         
VR1        10K                                  TopLayer    POT_SMD_3                         49.0000      66.0000      270      ""                                                                                                    
R12        1K                                   BottomLayer RES_1206                          32.0000      54.9000      180      "Resistor SMD 1206"                                                                                   
R11        10K                                  BottomLayer RES_1206                          93.8000      55.1000      0        "Resistor SMD 1206"                                                                                   
R10        10K                                  BottomLayer RES_1206                          93.8000      45.5000      0        "Resistor SMD 1206"                                                                                   
R9         1K                                   BottomLayer RES_1206                          48.5750      38.8000      90       "Resistor SMD 1206"                                                                                   
R8         100                                  BottomLayer RES_1206                          54.2500      34.9750      90       "Resistor SMD 1206"                                                                                   
R7         1K                                   TopLayer    RES_1206                          42.8000      67.2000      180      "Resistor SMD 1206"                                                                                   
R6         1K                                   BottomLayer RES_1206                          55.9000      42.8000      0        "Resistor SMD 1206"                                                                                   
R5         1K                                   BottomLayer RES_1206                          55.9000      50.8000      0        "Resistor SMD 1206"                                                                                   
R4         1K                                   BottomLayer RES_1206                          55.9000      46.8000      0        "Resistor SMD 1206"                                                                                   
R3         10K                                  BottomLayer RES_1206                          50.8000      65.5000      90       "Resistor SMD 1206"                                                                                   
R2         10K                                  BottomLayer RES_1206                          47.8500      65.5000      90       "Resistor SMD 1206"                                                                                   
R1         10K                                  BottomLayer RES_1206                          93.8000      35.5000      0        "Resistor SMD 1206"                                                                                   
Q1         8050                                 BottomLayer SOT-23-3_2.9X2.4MM_P0.95MM        49.5500      33.9750      270      "Bipolar (BJT) Transistor NPN 25V 1.5A 100MHz 625mW Surface Mount SOT-23"                             
LED3       RED                                  TopLayer    LED_0603_RED                      55.9002      42.8000      180      "LED 0603 RED SMD"                                                                                    
LED1       YELLOW                               TopLayer    LED_0603_YELLOW                   55.9002      50.8000      180      "LED 0603 YELLOW SMD"                                                                                 
LED2       BLUE                                 TopLayer    LED_0603_BLUE                     55.9002      46.8000      180      "LED 0603 BLUE SMD"                                                                                   
KEY_RT     "Tactile 2PIN 6X3.5mm H4.57mm (SMD)" TopLayer    SWPBS_SPST_6X3X5                  92.4000      36.8000      270      "Tactile Switch SPST-NO Top Actuated Surface Mount"                                                   
KEY2       "Tactile 2PIN 6X3.5mm H4.57mm (SMD)" TopLayer    SWPBS_SPST_6X3X5                  92.4000      56.8000      270      "Tactile Switch SPST-NO Top Actuated Surface Mount"                                                   
KEY1       "Tactile 2PIN 6X3.5mm H4.57mm (SMD)" TopLayer    SWPBS_SPST_6X3X5                  92.4000      46.8000      270      "Tactile Switch SPST-NO Top Actuated Surface Mount"                                                   
J3         HDRM_2X10                            TopLayer    HDR_M_2X10                        71.6350      61.8000      0        "CONN, HEADER, Male, pitch: 2.54mm, 20POS"                                                            
